timestamp,fit_power_T @ 0x24000B18,power_res @ 0x24001018,fit_power_W @ 0x24000B1C
29.326716,0.013513,7.105515,159.826004
29.330852,0.011865,7.105515,159.826004
29.337839,0.011865,7.105515,159.826004
29.341816,0.017249,7.105515,166.210678
29.345829,0.017249,5.234004,166.210678
29.351383,0.014172,10.390331,160.244675
29.363827,0.014172,5.357360,160.244675
29.367833,0.014172,4.447795,164.640671
29.371984,0.011371,11.713200,164.640671
29.376073,0.011371,5.280519,164.640671
29.380358,0.011371,4.410502,164.640671
29.384351,0.008350,4.308834,162.442673
29.388722,0.008350,7.424358,162.442673
29.393045,0.008350,4.924616,162.442673
29.398989,0.019885,8.998900,160.035339
29.403019,0.019885,7.183950,160.035339
29.406979,0.019885,5.110063,160.035339
29.412834,0.010327,4.301457,162.652008
29.416817,0.010327,5.071957,162.652008
29.423922,0.006152,5.071957,165.268661
29.431939,0.006152,5.071957,165.268661
29.436248,0.006152,5.071957,165.268661
29.441847,0.012524,5.071957,161.814667
29.445806,0.012524,5.071957,161.814667
29.449829,0.008569,5.071957,150.406006
29.458632,0.008569,5.071957,150.406006
29.463063,0.008569,5.071957,150.406006
29.467074,0.008569,5.071957,158.256012
29.471812,-0.002307,5.071957,158.256012
29.475879,-0.002307,5.071957,158.256012
29.481195,0.016699,5.071957,162.652008
29.485265,0.016699,5.071957,162.652008
29.489425,0.016699,5.071957,162.652008
29.494089,0.016699,5.071957,159.407333
29.499672,0.010217,5.071957,159.407333
29.505499,0.010217,5.071957,159.407333
29.509922,0.005878,5.071957,164.012680
29.513824,0.005878,7.298128,164.012680
29.519887,0.005878,7.298128,161.396011
29.526687,0.014941,5.742464,161.396011
29.531113,0.014941,4.399991,161.396011
29.535172,0.014941,4.123348,161.396011
29.539145,0.005878,8.871812,151.347992
29.543136,0.005878,8.599453,151.347992
29.547491,0.005878,8.599453,151.347992
29.553119,0.011591,8.599453,160.035339
29.560168,0.011591,8.599453,160.035339
29.564686,0.005603,6.625727,160.035339
29.571487,0.005603,6.625727,160.035339
29.577273,0.005603,6.625727,160.035339
29.581712,0.022028,6.625727,160.035339
29.587791,0.022028,5.521613,160.035339
29.591822,0.022028,4.853307,155.639343
29.597361,0.009229,4.853307,155.639343
29.603423,0.009229,4.353427,155.639343
29.610034,0.015765,6.043239,149.359344
29.615969,0.015765,5.329171,149.359344
29.620156,0.015765,4.530543,154.592682
29.624339,0.014886,3.219396,154.592682
29.628483,0.014886,3.588356,154.592682
29.632527,0.014886,3.872322,154.592682
29.637601,-0.002527,3.774070,144.544678
29.641555,-0.002527,3.411433,144.544678
29.645554,-0.002527,3.738635,137.322678
29.652563,0.005054,2.516452,137.322678
29.656638,0.005054,3.370796,137.322678
29.665759,0.003186,2.892725,127.588669
29.669830,0.003186,2.469181,127.588669
29.673959,0.003186,2.469181,127.588669
29.679563,-0.000220,2.469181,114.924004
29.686790,-0.000220,2.630190,114.924004
29.690831,0.000989,3.411424,103.515343
29.697586,0.000989,3.411424,103.515343
29.701652,0.000989,3.411424,95.665337
29.707765,-0.002032,3.411424,95.665337
29.711583,-0.002032,3.411424,95.665337
29.716172,-0.002032,3.411424,95.665337
29.720829,-0.002527,3.411424,85.198677
29.724921,-0.002527,3.411424,85.198677
29.729416,-0.002527,3.411424,85.198677
29.734671,-0.003241,2.752412,69.603340
29.739057,-0.003241,2.740306,69.603340
29.745195,-0.003241,2.815438,69.603340
29.749264,-0.005713,2.609938,64.160667
29.757519,-0.005713,3.135128,54.531334
29.765692,-0.007910,2.848217,54.531334
29.771080,-0.007910,2.945927,54.531334
29.778295,-0.001154,2.932838,41.133999
29.782385,-0.001154,2.693205,41.133999
29.786320,-0.001154,2.924601,41.133999
29.790570,0.002966,2.924775,39.773335
29.794746,0.002966,2.924775,39.773335
29.799337,0.002966,2.924775,39.773335
29.804823,-0.004669,2.924775,28.888000
29.810419,-0.004669,2.974288,28.888000
29.814697,-0.004669,2.948668,17.479334
29.820639,-0.004065,2.758929,17.479334
29.825803,-0.004065,2.777971,17.479334
29.829957,-0.004065,2.847746,17.479334
29.834346,0.003186,2.853684,10.466666
29.840290,0.003186,2.943548,10.466666
29.844252,0.003186,2.868574,6.489334
29.848267,-0.000275,2.781093,6.489334
29.854720,-0.000275,2.820284,6.489334
29.859477,-0.000275,2.883260,1.046667
29.868113,0.002362,2.942329,1.046667
29.873083,-0.000494,2.875808,-2.721333
29.877119,-0.000494,3.005301,-2.721333
29.881102,-0.000494,2.893831,-2.721333
29.885129,-0.000494,2.979454,-2.721333
29.889279,-0.000439,2.963641,0.418667
29.893257,-0.000439,3.082639,0.418667
29.897521,-0.000439,2.985315,0.418667
29.903467,0.005933,2.760819,0.000000
29.907388,0.005933,2.785405,0.000000
29.912064,0.005933,2.880494,-0.314000
29.918830,0.003571,2.929823,-0.314000
29.924122,0.003571,2.819219,-0.314000
29.928188,-0.002856,2.880501,0.000000
29.933837,-0.002856,2.816697,0.000000
29.938261,-0.002856,2.896731,0.000000
29.942912,-0.002856,2.998348,0.000000
29.948676,-0.002856,2.833222,0.000000
29.952764,-0.002856,2.802572,0.000000
29.960099,-0.006866,2.823111,0.000000
